Crime_Year,PrimaryType,Total_Crime,Total_Arrest
2007,Assault,26313,6551
2007,Battery,79595,19384
2007,Burglary,24858,1548
2007,"Criminal Damage",53749,3994
2007,"Criminal Sexual Assault",1566,236
2007,"Criminal Trespass",13699,10606
2007,"Deceptive Practice",14181,2853
2007,Gambling,1409,1380
2007,Homicide,430,248
2007,"Interference With Officer",677,629
2007,Intimidation,255,51
2007,Kidnapping,329,33
2007,"Liquor Law Violation",1170,1154
2007,"Motor Vehicle Theft",18573,1779
2007,Narcotics,54454,53251
2007,Obscenity,12,10
2007,"Offense Involving Children",2922,695
2007,"Other Narcotic Violation",12,4
2007,"Other Offense",26863,4230
2007,Prostitution,6087,6001
2007,"Public Indecency",5,5
2007,"Public Peace Violation",3315,2269
2007,Ritualism,1,0
2007,Robbery,15450,1615
2007,"Sex Offense",1531,550
2007,Stalking,213,34
2007,Theft,85156,9783
2007,"Weapons Violation",3554,2884
2008,Arson,644,59
2008,Assault,25449,5315
2008,Battery,75930,15523
2008,Burglary,26218,1553
2008,"Criminal Damage",52843,3403
2008,"Criminal Sexual Assault",1567,286
2008,"Criminal Trespass",12310,6541
2008,"Deceptive Practice",14945,2173
2008,Gambling,1199,1157
2008,Homicide,489,270
2008,"Interference With Officer",580,460
2008,Intimidation,261,56
2008,Kidnapping,359,38
2008,"Liquor Law Violation",912,887
2008,"Motor Vehicle Theft",18881,1526
2008,Narcotics,46506,45482
2008,Obscenity,13,13
2008,"Offense Involving Children",2676,551
2008,"Other Narcotic Violation",12,11
2008,"Other Offense",26532,3495
2008,Prostitution,5141,5083
2008,"Public Indecency",4,3
2008,"Public Peace Violation",3013,1776
2008,Robbery,16703,1688
2008,"Sex Offense",1504,424
2008,Stalking,190,24
2008,Theft,88437,9292
2008,"Weapons Violation",3877,2924
2009,Arson,616,69
2009,Assault,22861,5700
2009,Battery,68460,16326
2009,Burglary,26767,1414
2009,"Criminal Damage",47725,3270
2009,"Criminal Sexual Assault",1451,235
2009,"Criminal Trespass",10851,7933
2009,"Deceptive Practice",13897,2459
2009,Gambling,991,986
2009,Homicide,442,237
2009,"Human Trafficking",1,0
2009,"Interference With Officer",573,528
2009,Intimidation,231,39
2009,Kidnapping,293,29
2009,"Liquor Law Violation",746,738
2009,"Motor Vehicle Theft",15482,1300
2009,Narcotics,43543,43215
2009,Obscenity,21,16
2009,"Offense Involving Children",2638,534
2009,"Other Narcotic Violation",7,5
2009,"Other Offense",25601,4204
2009,Prostitution,3940,3926
2009,"Public Indecency",10,10
2009,"Public Peace Violation",3147,2289
2009,Robbery,15981,1563
2009,"Sex Offense",1268,415
2009,Stalking,168,23
2009,Theft,80977,9901
2009,"Weapons Violation",4159,3474
2010,Arson,522,66
2010,Assault,21537,5051
2010,Battery,65403,14278
2010,Burglary,26422,1380
2010,"Criminal Damage",40654,2641
2010,"Criminal Sexual Assault",1399,255
2010,"Criminal Trespass",9401,6502
2010,"Deceptive Practice",12595,2080
2010,Gambling,927,927
2010,Homicide,410,198
2010,"Human Trafficking",1,0
2010,"Interference With Officer",797,698
2010,Intimidation,198,23
2010,Kidnapping,314,27
2010,"Liquor Law Violation",737,736
2010,"Motor Vehicle Theft",19029,1047
2010,Narcotics,43398,43299
2010,Obscenity,34,27
2010,"Offense Involving Children",2643,542
2010,"Other Narcotic Violation",6,2
2010,"Other Offense",22012,3269
2010,Prostitution,2484,2479
2010,"Public Indecency",7,7
2010,"Public Peace Violation",3538,2525
2010,Robbery,14275,1362
2010,"Sex Offense",1146,339
2010,Stalking,189,26
2010,Theft,76758,7845
2010,"Weapons Violation",3704,2911
2011,Arson,504,48
2011,Assault,20411,5184
2011,Battery,60460,14139
2011,Burglary,26620,1274
2011,"Criminal Damage",37331,2583
2011,"Criminal Sexual Assault",1517,233
2011,"Criminal Trespass",8659,6417
2011,"Deceptive Practice",12757,2469
2011,Gambling,736,736
2011,Homicide,423,202
2011,"Human Trafficking",1,0
