District,Crime_Year,Total_Crime
14,2016,10342
16,2016,9473
20,2016,4408
18,2016,13228
19,2017,12082
11,2017,18068
2,2017,11660
12,2017,13531
25,2017,14302
20,2017,4605
9,2017,11783
10,2017,12546
8,2017,16593
15,2017,10224
7,2017,13847
6,2017,16582
5,2017,11779
4,2017,14788
18,2017,15124
16,2017,8952
3,2017,12729
17,2017,7929
14,2017,10083
22,2017,8384
24,2017,8226
1,2017,15425
17,2018,7670
19,2018,12325
9,2018,11109
4,2018,14261
3,2018,12165
15,2018,10121
7,2018,14356
11,2018,19287
14,2018,9415
5,2018,12044
8,2018,16485
25,2018,13454
6,2018,16589
22,2018,8514
10,2018,12680
1,2018,15720
12,2018,13190
24,2018,7758
2,2018,11951
18,2018,16239
20,2018,4973
16,2018,8814
2,2019,11277
14,2019,9299
7,2019,13754
8,2019,15750
6,2019,16915
25,2019,12986
11,2019,18741
1,2019,15314
4,2019,14085
22,2019,8279
10,2019,12517
17,2019,6771
5,2019,11396
3,2019,12532
12,2019,13203
15,2019,10026
24,2019,8037
9,2019,11045
18,2019,15183
19,2019,11854
16,2019,8324
3,2020,11064
6,2020,14134
7,2020,11798
25,2020,11355
8,2020,13211
4,2020,12349
11,2020,15087
17,2020,6056
22,2020,7194
10,2020,10134
14,2020,6680
15,2020,8928
12,2020,10222
9,2020,9307
5,2020,10294
2,2020,9553
16,2020,7601
1,2020,8428
20,2020,4107
18,2020,8888
24,2020,6854
19,2020,9448
2,2021,9638
15,2021,8049
10,2021,9201
3,2021,10614
4,2021,12481
6,2021,13625
11,2021,14050
7,2021,10584
14,2021,6871
8,2021,12914
22,2021,7042
9,2021,9158
5,2021,9650
25,2021,10892
17,2021,5756
20,2021,4247
1,2021,9217
12,2021,10938
16,2021,7911
24,2021,6904
19,2021,9715
18,2021,10177
7,2022,10347
2,2022,11841
11,2022,13526
10,2022,10033
15,2022,8335
5,2022,9833
1,2022,13107
22,2022,7715
6,2022,14754
12,2022,14412
25,2022,12016
9,2022,10410
8,2022,14872
14,2022,8192
3,2022,11963
4,2022,14008
19,2022,12316
17,2022,7022
18,2022,12490
16,2022,9287
20,2022,4989
24,2022,8508
12,2023,15974
9,2023,11670
5,2023,10516
2,2023,13575
15,2023,8276
7,2023,10885
11,2023,14441
1,2023,14365
3,2023,13236
6,2023,15840
24,2023,9369
25,2023,14038
4,2023,15010
22,2023,8271
10,2023,11071
20,2023,5598
17,2023,7865
8,2023,17031
16,2023,9799
19,2023,13754
18,2023,13327
14,2023,9365
3,2024,13140
8,2024,17271
7,2024,10771
15,2024,8770
11,2024,13655
6,2024,14862
12,2024,16202
9,2024,11350
4,2024,13717
10,2024,10551
22,2024,7976
1,2024,14906
20,2024,5675
17,2024,7989
2,2024,13182
5,2024,10248
24,2024,8825
25,2024,13277
14,2024,9895
16,2024,9084
18,2024,13562
19,2024,14123
6,2025,13573
10,2025,9517
12,2025,14901
15,2025,7821
8,2025,15219
11,2025,12931
4,2025,13085
20,2025,4996
9,2025,10484
25,2025,11548
3,2025,12722
1,2025,13692
5,2025,9273
16,2025,8084
2,2025,12708
22,2025,7627
7,2025,10114
24,2025,7602
18,2025,13201
17,2025,7298
19,2025,12525
14,2025,8028
3,2026,3114
7,2026,2242
8,2026,3485
5,2026,2100
11,2026,2841
1,2026,3125
4,2026,2949
22,2026,1655
10,2026,2184
12,2026,3602
15,2026,1797
25,2026,2780
14,2026,2039
6,2026,3083
2,2026,3197
24,2026,1733
19,2026,3022
9,2026,2562
17,2026,1688
18,2026,2979
31,2002,9
31,2003,11
21,2003,1
31,2004,6
21,2004,3
0,2004,2
31,2005,5
0,2005,1
31,2006,7
0,2006,1
31,2007,15
31,2008,22
0,2008,40
0,2007,2
31,2009,22
31,2010,25
31,2011,21
31,2012,4
31,2013,6
31,2014,3
31,2015,9
31,2016,16
31,2017,2
0,2017,1
31,2018,12
20,2019,4395
31,2019,7
31,2020,4
31,2021,16
31,2022,15
31,2023,15
31,2024,13
31,2025,12
20,2026,1164
16,2026,1887
